,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
0,2019 Mercedes-Benz GLS 450 Base 4MATIC,"29,800 mi.",Mercedes-Benz of Fort Washington,4.6,"(2,361 reviews)",5.0,(10 reviews),"$59,463", Polar White , Espresso Brown , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
1,2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"36,219 mi.",RBM of Atlanta,4.9,"(1,013 reviews)",4.9,(14 reviews),"$66,812", Gray Metallic , Saddle Brown / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
2,2019 Mercedes-Benz GLC 350e Base 4MATIC,"15,295 mi.",Mercedes-Benz of Arcadia,4.8,"(1,107 reviews)",4.2,(11 reviews),"$39,153", Polar White , Silk Beige / Black , All-wheel Drive ,Hybrid ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid
3,2021 Mercedes-Benz GLE 350 Base 4MATIC,"19,810 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,114 reviews)",4.8,(17 reviews),"$65,999", Emerald Green Metallic , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
4,2020 Mercedes-Benz GLE 350 4MATIC,"45,322 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),4.3,(75 reviews),"$53,555", Obsidian Black Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
5,2018 Mercedes-Benz GLC 300 4MATIC,"39,066 mi.",Mercedes-Benz of Hanover,4.6,(390 reviews),4.7,(126 reviews),"$33,500", Gray Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
6,2020 Mercedes-Benz GLE 350 Base,"23,930 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"(1,878 reviews)",4.3,(75 reviews),"$60,958", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
7,2019 Mercedes-Benz GLC 300 Base 4MATIC,"19,782 mi.",Mercedes-Benz of Fort Mitchell,4.8,(585 reviews),4.6,(72 reviews),"$40,565", Black , Silk Beige / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
8,2021 Mercedes-Benz GLE 350 Base,"23,154 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),4.8,(17 reviews),"$57,990", Black , Macchiato Beige , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
9,2020 Mercedes-Benz E-Class E 450 4MATIC,"20,261 mi.",Mercedes-Benz of Owings Mills,4.9,"(2,114 reviews)",5.0,(10 reviews),"$77,490", Iridium Silver Metallic , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
10,2020 Mercedes-Benz S-Class S 560,"24,868 mi.",Mercedes-Benz of Laguna Niguel,4.8,"(1,661 reviews)",4.9,(7 reviews),"$82,150", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
11,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"31,085 mi.",Mercedes Benz of Hoffman Estates,4.7,"(1,114 reviews)",4.8,(6 reviews),"$68,999", Obsidian Black Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
12,2019 Mercedes-Benz C-Class C 300,"37,485 mi.",Mercedes-Benz of Fort Lauderdale,4.6,(998 reviews),4.8,(40 reviews),"$34,492", Black , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
13,2020 Mercedes-Benz GLC 300 4MATIC Coupe,"64,100 mi.",Mercedes-Benz of Catonsville,4.2,(419 reviews),4.8,(35 reviews),"$53,000", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
14,2020 Mercedes-Benz E-Class E 350 4MATIC,"15,798 mi.",John Sisson Motors,3.3,(31 reviews),5.0,(10 reviews),"$52,974", Iridium Silver Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
15,2020 Mercedes-Benz GLA 250 Base 4MATIC,"12,969 mi.",Mercedes-Benz of Walnut Creek,4.6,(884 reviews),4.9,(13 reviews),"$35,588", White , Black , All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
